Faction,VoiceId,EventId,Variant,FrequencyTier,Priority,CooldownSeconds,ConcurrencyGroup,InterruptPolicy,ContextDescription,TextRu,SpokenTextRu,Emotion,Pace,Intensity,ControlInstruction,CanonicalSource,CanonicalPreserved,Status,Notes
SU,EVA_SU_KONTUR,UNIT_READY_GENERIC,01,Frequent,3,2.0,CG_Production,Queue,Универсальное завершение постройки юнита,Боевая единица готова к отправке.,Боевая единица готова к отправке.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Bible_v2,true,Approved,Faction=SU;Event=UNIT_READY_GENERIC;Variant=01
SU,EVA_SU_KONTUR,UNIT_READY_GENERIC,02,Frequent,3,2.0,CG_Production,Queue,Универсальное завершение постройки юнита,Новая единица в строю.,Новая единица в строю.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=UNIT_READY_GENERIC;Variant=02
SU,EVA_SU_KONTUR,UNIT_READY_GENERIC,03,Frequent,3,2.0,CG_Production,Queue,Универсальное завершение постройки юнита,Пополнение прибыло на позицию.,Пополнение прибыло на позицию.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=UNIT_READY_GENERIC;Variant=03
SU,EVA_SU_KONTUR,UNIT_READY_GENERIC,04,Frequent,3,2.0,CG_Production,Queue,Универсальное завершение постройки юнита,Подразделение сформировано.,Подразделение сформировано.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=UNIT_READY_GENERIC;Variant=04
SU,EVA_SU_KONTUR,INFANTRY_READY,01,Frequent,3,2.0,CG_Production,Queue,Пехотное отделение сформировано,Пехотное отделение подготовлено к бою.,Пехотное отделение подготовлено к бою.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INFANTRY_READY;Variant=01
SU,EVA_SU_KONTUR,INFANTRY_READY,02,Frequent,3,2.0,CG_Production,Queue,Пехотное отделение сформировано,Мотострелки экипированы.,Мотострелки экипированы.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INFANTRY_READY;Variant=02
SU,EVA_SU_KONTUR,INFANTRY_READY,03,Frequent,3,2.0,CG_Production,Queue,Пехотное отделение сформировано,Штурмовая группа собрана.,Штурмовая группа собрана.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INFANTRY_READY;Variant=03
SU,EVA_SU_KONTUR,INFANTRY_READY,04,Frequent,3,2.0,CG_Production,Queue,Пехотное отделение сформировано,Личный состав готов к маршу.,Личный состав готов к маршу.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=INFANTRY_READY;Variant=04
SU,EVA_SU_KONTUR,VEHICLE_READY,01,Frequent,3,2.0,CG_Production,Queue,Бронетехника вышла из цеха,Бронетехника вышла с заводского конвейера.,Бронетехника вышла с заводского конвейера.,Firm,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=VEHICLE_READY;Variant=01
SU,EVA_SU_KONTUR,VEHICLE_READY,02,Frequent,3,2.0,CG_Production,Queue,Бронетехника вышла из цеха,Тяжёлая машина принята экипажем.,Тяжёлая машина принята экипажем.,Authoritative,Commanding,Medium,"Authoritative mature female military command voice, low contralto, precise Russian diction, restrained emotion, firm concise delivery, calm under pressure.",RA4_Design_v2,false,Approved,Faction=SU;Event=VEHICLE_READY;Variant=02
