AssetId,Faction,UnitId,VoiceId,EventTag,Variant,TextRu,ControlInstruction,AnchorFile,OutputFile,DurationSeconds,SampleRate,PeakDb,GenerationMode,CfgValue,InferenceTimesteps,Status,Notes,GenerationTimestamp
LINE_EVA_Chrono_Base.UnderAttack_01,Chrono,EVA,EVA_Chrono,Base.UnderAttack,1,Anomaliya. Obekt pod vozdeystviem.,"Androgynous timeless command voice, calm and unsettling, extremely precise, restrained emotion, deliberate micro-pauses, clear Russian, no baked-in audio effects.",Anchors/Chrono/EVA_Chrono/anchor_02.wav,EVA/Chrono/VO_EVA_Chrono_Base_UnderAttack_01.wav,2.4,48000,-3.0,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(urgent command) ,2026-07-28
LINE_EVA_Chrono_Game.Start_01,Chrono,EVA,EVA_Chrono,Game.Start,1,Tsikl initsializirovan. Koordinator na svyazi.,"Androgynous timeless command voice, calm and unsettling, extremely precise, restrained emotion, deliberate micro-pauses, clear Russian, no baked-in audio effects.",Anchors/Chrono/EVA_Chrono/anchor_02.wav,EVA/Chrono/VO_EVA_Chrono_Game_Start_01.wav,3.29,48000,-4.12,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(calm command announcement) ,2026-07-28
LINE_EVA_Chrono_Player.Victory_01,Chrono,EVA,EVA_Chrono,Player.Victory,1,Vremennaya liniya zafiksirovana. Uspekh podtverzhdyon.,"Androgynous timeless command voice, calm and unsettling, extremely precise, restrained emotion, deliberate micro-pauses, clear Russian, no baked-in audio effects.",Anchors/Chrono/EVA_Chrono/anchor_02.wav,EVA/Chrono/VO_EVA_Chrono_Player_Victory_01.wav,3.63,48000,-3.0,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(restrained triumph) ,2026-07-28
LINE_EVA_Chrono_Resources.Low_01,Chrono,EVA,EVA_Chrono,Resources.Low,1,Resurs ischerpyvaetsya. Zamedlenie protsessov.,"Androgynous timeless command voice, calm and unsettling, extremely precise, restrained emotion, deliberate micro-pauses, clear Russian, no baked-in audio effects.",Anchors/Chrono/EVA_Chrono/anchor_02.wav,EVA/Chrono/VO_EVA_Chrono_Resources_Low_01.wav,2.88,48000,-3.0,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(measured warning) ,2026-07-28
LINE_EVA_Chrono_Unit.Ready_01,Chrono,EVA,EVA_Chrono,Unit.Ready,1,Struktura razvyornuta. Gotova k koordinatsii.,"Androgynous timeless command voice, calm and unsettling, extremely precise, restrained emotion, deliberate micro-pauses, clear Russian, no baked-in audio effects.",Anchors/Chrono/EVA_Chrono/anchor_02.wav,EVA/Chrono/VO_EVA_Chrono_Unit_Ready_01.wav,3.52,48000,-3.0,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(alert ready) ,2026-07-28
LINE_EVA_Alliance_Base.UnderAttack_01,Alliance,EVA,EVA_Alliance,Base.UnderAttack,1,Trevoga. Nasha baza pod udarom.,"Professional female tactical AI voice, clean and intelligent, confident, modern, precise, slightly warm, medium-fast pace, excellent Russian diction.",Anchors/Alliance/EVA_Alliance/anchor_02.wav,EVA/Alliance/VO_EVA_Alliance_Base_UnderAttack_01.wav,2.02,48000,-3.0,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(urgent command) ,2026-07-28
LINE_EVA_Alliance_Game.Start_01,Alliance,EVA,EVA_Alliance,Game.Start,1,Komandnaya set aktivirovana. Gotova k rabote.,"Professional female tactical AI voice, clean and intelligent, confident, modern, precise, slightly warm, medium-fast pace, excellent Russian diction.",Anchors/Alliance/EVA_Alliance/anchor_02.wav,EVA/Alliance/VO_EVA_Alliance_Game_Start_01.wav,2.72,48000,-5.56,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(calm command announcement) ,2026-07-28
LINE_EVA_Alliance_Player.Victory_01,Alliance,EVA,EVA_Alliance,Player.Victory,1,Missiya zavershena. Prevoskhodstvo podtverzhdeno.,"Professional female tactical AI voice, clean and intelligent, confident, modern, precise, slightly warm, medium-fast pace, excellent Russian diction.",Anchors/Alliance/EVA_Alliance/anchor_02.wav,EVA/Alliance/VO_EVA_Alliance_Player_Victory_01.wav,2.85,48000,-6.99,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(restrained triumph) ,2026-07-28
LINE_EVA_Alliance_Resources.Low_01,Alliance,EVA,EVA_Alliance,Resources.Low,1,Vnimanie. Zapas resursov snizhaetsya.,"Professional female tactical AI voice, clean and intelligent, confident, modern, precise, slightly warm, medium-fast pace, excellent Russian diction.",Anchors/Alliance/EVA_Alliance/anchor_02.wav,EVA/Alliance/VO_EVA_Alliance_Resources_Low_01.wav,2.69,48000,-5.46,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(measured warning) ,2026-07-28
LINE_EVA_Alliance_Unit.Ready_01,Alliance,EVA,EVA_Alliance,Unit.Ready,1,Boevaya edinitsa gotova k razvyortyvaniyu.,"Professional female tactical AI voice, clean and intelligent, confident, modern, precise, slightly warm, medium-fast pace, excellent Russian diction.",Anchors/Alliance/EVA_Alliance/anchor_02.wav,EVA/Alliance/VO_EVA_Alliance_Unit_Ready_01.wav,2.06,48000,-5.57,voice_clone_with_anchor,2.0,10,ok,red_alert_quote=False; style_prefix=(alert ready) ,2026-07-28
